Username,Team,Points,Goals,Assists,Saves
Gatman40,Knights,1280,4,2,4
BurlierPython43,Knights,831,3,3,2
tnevjr,Knights,634,3,0,0
ethanrehm,Monarchs,396,1,0,3
ButterMonkey2013,Monarchs,667,2,0,6
Pooderhole,Monarchs,332,0,0,0
PureToastyGG,Dragons,779,1,2,4
TheReal2BeaR,Dragons,893,4,0,1
Rosepepper70099,Dragons,442,0,1,4
Jarzy,Phantoms,1484,6,1,6
xan der r,Phantoms,855,1,4,2
SmallLilMan114,Phantoms,120,0,0,0
Madbrash2,Cyclones,731,1,0,4
Delisamich,Cyclones,309,0,0,2
Topher510,Cyclones,98,0,0,0
pHD Squirtle,Kodiaks,824,3,2,2
pHD Ducky9124,Kodiaks,844,2,2,2
BytesTruckDad,Kodiaks,480,2,1,1
