Username,Team,Points,Goals,Assists,Saves
Gatman40,Knights,1717,4,3,6
BurlierPython43,Knights,1614,7,3,3
tnevjr,Knights,1072,4,1,0
NeonNemo02,Monarchs,1595,4,2,8
ButterMonkey2013,Monarchs,1661,5,2,8
DDPAHND74,Monarchs,583,0,2,0
PureToastyGG,Dragons,2242,8,3,7
TheReal2BeaR,Dragons,1944,7,2,3
Rosepepper70099,Dragons,911,0,3,5
Jarzy,Phantoms,2183,7,1,8
shaf,Phantoms,1351,2,4,4
SmallLilMan114,Phantoms,398,0,1,1
Madbrash2,Cyclones,1507,1,0,10
Delisamich,Cyclones,533,0,0,4
Topher510,Cyclones,250,0,0,1
pHD Squirtle,Kodiaks,1700,6,3,4
pHD Ducky9124,Kodiaks,1421,3,3,4
BytesTruckDad,Kodiaks,876,2,1,5
